,store_id,city,state,sales_region,new_expansion,marketing_spend,revenue,profit,roms,roms%
0,1,Peoria,Arizona,Region 2,Old,2601,48610,46009,1768.9,17.69
1,2,Midland,Texas,Region 2,Old,2727,45689,42962,1575.43,15.75
2,3,Spokane,Washington,Region 2,Old,2768,49554,46786,1690.25,16.9
3,4,Denton,Texas,Region 2,Old,2759,38284,35525,1287.6,12.88
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,1987.38,19.87
5,6,Yonkers,New York,Region 1,Old,3080,53827,50747,1647.63,16.48
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,1840.13,18.4
7,8,Antioch,California,Region 2,Old,2593,19569,16976,654.69,6.55
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,2137.01,21.37
9,10,Rochester,New York,Region 1,Old,2984,64906,61922,2075.13,20.75
10,11,Rialto,California,Region 2,Old,2541,16860,14319,563.52,5.64
11,12,Santa Maria,California,Region 2,Old,2651,21988,19337,729.42,7.29
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,586.98,5.87
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,1478.22,14.78
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,587.68,5.88
15,16,Temecula,California,Region 2,Old,2795,16690,13895,497.14,4.97
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,1643.84,16.44
17,18,Fontana,California,Region 2,Old,3085,63027,59942,1943.01,19.43
18,19,Kent,Washington,Region 2,Old,2894,43183,40289,1392.16,13.92
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,591.5,5.92
20,21,Concord,California,Region 2,Old,2521,38178,35657,1414.4,14.14
21,22,Modesto,California,Region 2,Old,3077,56836,53759,1747.12,17.47
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,1485.46,14.85
23,24,Burbank,California,Region 2,Old,3679,20123,16444,446.97,4.47
24,25,Elk Grove,California,Region 2,Old,2918,49856,46938,1608.57,16.09
25,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,53370,2205.37,22.05
26,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,42460,1660.54,16.61
27,28,Salt Lake City,Utah,Region 2,Old,3620,56921,53301,1472.4,14.72
28,29,Waco,Texas,Region 2,Old,2483,39744,37261,1500.64,15.01
29,30,Edison,New Jersey,Region 1,Old,3131,22972,19841,633.7,6.34
30,31,Boulder,Colorado,Region 2,Old,3083,22680,19597,635.65,6.36
31,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,62667,2231.73,22.32
32,33,Tyler,Texas,Region 2,Old,2984,21718,18734,627.82,6.28
33,34,Charleston,South Carolina,Region 1,Old,2484,34829,32345,1302.13,13.02
34,35,Huntsville,Alabama,Region 1,Old,3335,59283,55948,1677.6,16.78
35,36,Pearland,Texas,Region 2,Old,3127,20057,16930,541.41,5.41
36,37,Inglewood,California,Region 2,Old,2904,20455,17551,604.37,6.04
